"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"206","France",7,4,3,6,"Croatia",6,3,3,7,"Uruguay",7,5,2,7,"Spain",5,4,1,5,"Portugal",6,3,3,7,"Egypt",4,4,0,5,"Argentina",6,3,3,7,"Peru",8,5,3,6,"Brazil",9,5,4,7,"Germany",9,6,3,6,"England",4,1,3,7,"Senegal",3,8,-5,4,"Mexico",9,7,2,9,"Costa Rica",6,5,1,5,"Poland",6,6,0,9,"Tunisia",3,3,0,4
"207","Denmark",7,5,2,7,"Croatia",3,3,0,4,"Russia",9,3,6,7,"Morocco",6,3,3,6,"Portugal",8,3,5,7,"Uruguay",6,5,1,5,"Argentina",7,1,6,9,"Peru",7,4,3,6,"Switzerland",6,4,2,7,"Mexico",4,4,0,6,"England",7,1,6,9,"Poland",4,4,0,4,"Germany",8,4,4,6,"Costa Rica",6,3,3,6,"Colombia",5,5,0,5,"Belgium",6,5,1,6
"208","France",6,4,2,5,"Iceland",2,3,-1,4,"Russia",10,2,8,7,"Portugal",8,5,3,6,"Spain",8,4,4,9,"Uruguay",9,3,6,7,"Argentina",6,2,4,7,"Peru",3,3,0,4,"Brazil",10,3,7,9,"Mexico",8,7,1,5,"England",7,5,2,5,"Colombia",5,5,0,5,"Germany",8,5,3,7,"Costa Rica",7,8,-1,4,"Poland",5,5,0,7,"Belgium",5,5,0,4
"209","France",9,6,3,7,"Croatia",5,2,3,7,"Uruguay",7,5,2,7,"Spain",8,4,4,7,"Portugal",8,3,5,7,"Russia",7,2,5,6,"Argentina",8,4,4,7,"Australia",7,6,1,4,"Switzerland",8,5,3,7,"Sweden",4,5,-1,4,"England",6,1,5,7,"Poland",6,8,-2,4,"Germany",9,2,7,9,"Costa Rica",6,4,2,7,"Colombia",4,5,-1,5,"Belgium",4,0,4,7
"210","France",7,4,3,9,"Iceland",4,4,0,6,"Uruguay",6,1,5,7,"Portugal",8,5,3,6,"Spain",6,0,6,9,"Egypt",7,5,2,6,"Argentina",6,3,3,7,"Peru",5,5,0,4,"Switzerland",7,3,4,9,"Germany",8,4,4,6,"England",8,3,5,9,"Senegal",2,8,-6,3,"Mexico",6,3,3,9,"Costa Rica",8,5,3,6,"Poland",4,7,-3,9,"Belgium",4,3,1,6
"211","France",7,3,4,9,"Croatia",5,3,2,6,"Uruguay",6,2,4,9,"Spain",6,4,2,7,"Iran",9,5,4,7,"Egypt",3,4,-1,4,"Argentina",7,2,5,9,"Peru",6,3,3,6,"Brazil",9,2,7,9,"Mexico",5,5,0,6,"Belgium",5,2,3,7,"Senegal",4,6,-2,4,"Germany",11,4,7,9,"Switzerland",5,6,-1,4,"Poland",4,4,0,9,"England",4,2,2,7
"212","France",7,4,3,7,"Nigeria",4,4,0,4,"Uruguay",7,2,5,7,"Morocco",3,2,1,6,"Spain",3,3,0,6,"Egypt",7,4,3,5,"Argentina",8,4,4,7,"Peru",6,5,1,4,"Brazil",8,4,4,9,"Sweden",4,5,-1,3,"England",6,1,5,9,"Poland",8,6,2,6,"Germany",9,3,6,9,"Serbia",5,4,1,6,"Colombia",7,3,4,9,"Belgium",4,2,2,6
"213","Peru",5,4,1,5,"Nigeria",4,3,1,6,"Russia",11,1,10,9,"Spain",5,4,1,6,"Portugal",7,4,3,6,"Uruguay",6,5,1,6,"Argentina",6,4,2,6,"France",6,3,3,4,"Brazil",10,3,7,6,"Sweden",4,5,-1,6,"Belgium",8,3,5,9,"Colombia",6,2,4,5,"Germany",11,3,8,6,"Costa Rica",6,5,1,6,"Poland",4,4,0,7,"Tunisia",4,3,1,6
"214","Denmark",6,2,4,7,"Nigeria",3,3,0,4,"Uruguay",9,3,6,7,"Portugal",2,2,0,3,"Spain",8,4,4,7,"Egypt",5,6,-1,4,"Argentina",5,3,2,7,"France",7,3,4,6,"Brazil",6,1,5,9,"Sweden",4,5,-1,4,"England",6,3,3,7,"Poland",7,1,6,4,"Germany",8,2,6,9,"Serbia",4,4,0,6,"Colombia",6,3,3,9,"Belgium",5,3,2,5
"215","France",9,5,4,6,"Nigeria",4,3,1,6,"Uruguay",10,3,7,7,"Portugal",4,4,0,3,"Spain",8,2,6,9,"Egypt",5,6,-1,4,"Argentina",8,3,5,6,"Peru",7,6,1,6,"Brazil",6,3,3,7,"Mexico",5,5,0,5,"England",7,1,6,9,"Colombia",6,3,3,5,"Germany",7,3,4,7,"Switzerland",5,3,2,7,"Poland",7,6,1,7,"Belgium",4,5,-1,4
"216","France",6,2,4,6,"Argentina",6,5,1,6,"Uruguay",8,2,6,9,"Spain",4,3,1,6,"Portugal",7,0,7,9,"Egypt",6,4,2,4,"Croatia",7,2,5,7,"Peru",6,4,2,6,"Switzerland",5,2,3,7,"Sweden",5,5,0,3,"England",9,4,5,9,"Colombia",6,4,2,5,"Germany",8,3,5,9,"Brazil",8,3,5,6,"Poland",9,6,3,5,"Panama",4,6,-2,3
"217","France",6,4,2,7,"Nigeria",2,3,-1,4,"Uruguay",10,4,6,7,"Iran",4,5,-1,4,"Portugal",7,1,6,9,"Egypt",8,4,4,6,"Argentina",7,2,5,9,"Peru",6,6,0,4,"Brazil",6,2,4,9,"Mexico",6,10,-4,6,"England",8,2,6,9,"Poland",4,5,-1,6,"Germany",8,4,4,6,"Switzerland",5,2,3,6,"Colombia",5,4,1,7,"Panama",4,5,-1,3
"218","Peru",9,3,6,9,"Croatia",4,2,2,5,"Uruguay",8,5,3,6,"Spain",6,5,1,6,"Portugal",7,4,3,6,"Egypt",5,3,2,5,"Argentina",6,2,4,7,"France",5,3,2,6,"Brazil",6,5,1,6,"Mexico",6,4,2,4,"England",5,3,2,6,"Senegal",5,6,-1,3,"Germany",7,4,3,9,"Switzerland",5,3,2,5,"Poland",7,4,3,9,"Panama",5,4,1,6
"219","France",7,2,5,9,"Iceland",2,1,1,5,"Russia",9,4,5,6,"Portugal",3,3,0,4,"Spain",6,1,5,9,"Uruguay",6,5,1,6,"Argentina",5,3,2,5,"Denmark",5,7,-2,4,"Brazil",7,4,3,7,"Sweden",6,5,1,6,"England",5,3,2,7,"Senegal",7,5,2,5,"Germany",9,2,7,9,"Switzerland",6,4,2,7,"Poland",9,3,6,5,"Tunisia",5,3,2,5
"220","France",8,5,3,7,"Argentina",6,3,3,6,"Uruguay",8,2,6,7,"Iran",4,5,-1,4,"Spain",6,3,3,7,"Egypt",6,4,2,6,"Croatia",6,2,4,9,"Peru",8,6,2,7,"Switzerland",8,3,5,9,"Sweden",5,5,0,4,"England",9,2,7,9,"Senegal",5,4,1,5,"Germany",10,4,6,9,"Brazil",7,5,2,6,"Poland",9,4,5,7,"Belgium",5,7,-2,3
"221","Peru",6,4,2,5,"Nigeria",3,4,-1,3,"Uruguay",6,3,3,7,"Portugal",7,5,2,6,"Spain",7,3,4,6,"Russia",7,1,6,6,"Argentina",7,3,4,9,"Denmark",7,6,1,5,"Brazil",10,5,5,7,"Germany",9,3,6,6,"England",7,2,5,9,"Poland",10,6,4,4,"Mexico",7,8,-1,7,"Switzerland",7,6,1,4,"Colombia",4,4,0,6,"Belgium",5,5,0,4
"222","France",9,4,5,9,"Croatia",5,5,0,4,"Uruguay",7,5,2,7,"Portugal",3,4,-1,4,"Spain",7,2,5,9,"Egypt",5,4,1,5,"Argentina",8,3,5,9,"Peru",7,5,2,6,"Brazil",9,3,6,9,"Sweden",8,6,2,6,"Belgium",7,4,3,7,"Colombia",3,2,1,5,"Germany",7,5,2,6,"Switzerland",5,4,1,4,"Poland",7,4,3,7,"England",6,3,3,5
"223","France",9,5,4,7,"Nigeria",2,4,-2,4,"Uruguay",7,2,5,7,"Morocco",6,3,3,6,"Spain",7,2,5,9,"Egypt",6,4,2,7,"Argentina",9,2,7,7,"Denmark",3,2,1,5,"Brazil",11,3,8,9,"Sweden",5,4,1,6,"England",6,1,5,9,"Poland",4,8,-4,4,"Germany",7,3,4,7,"Costa Rica",7,6,1,6,"Colombia",7,4,3,9,"Belgium",5,4,1,4
"224","France",3,3,0,6,"Croatia",3,2,1,5,"Uruguay",8,2,6,6,"Iran",5,3,2,6,"Spain",6,3,3,7,"Egypt",6,3,3,6,"Argentina",5,2,3,7,"Peru",7,6,1,6,"Brazil",10,3,7,9,"Sweden",5,7,-2,3,"England",7,2,5,9,"Senegal",2,5,-3,4,"Germany",8,2,6,9,"Costa Rica",4,3,1,6,"Poland",5,4,1,7,"Belgium",6,4,2,6
"225","France",5,3,2,7,"Croatia",6,3,3,6,"Russia",6,2,4,9,"Portugal",4,4,0,4,"Spain",11,2,9,9,"Uruguay",7,5,2,6,"Argentina",7,2,5,6,"Peru",7,5,2,4,"Brazil",5,3,2,7,"Germany",7,4,3,6,"Belgium",6,2,4,9,"Colombia",6,4,2,5,"Mexico",5,4,1,7,"Switzerland",5,3,2,5,"Poland",4,4,0,7,"England",4,2,2,6
"226","France",8,1,7,9,"Iceland",5,5,0,4,"Egypt",6,3,3,6,"Portugal",6,3,3,5,"Spain",9,2,7,7,"Uruguay",4,4,0,6,"Argentina",8,2,6,9,"Denmark",4,5,-1,4,"Brazil",8,4,4,9,"Mexico",8,8,0,6,"England",8,3,5,7,"Poland",5,4,1,4,"Germany",10,3,7,9,"Costa Rica",4,3,1,4,"Colombia",5,3,2,9,"Belgium",6,3,2,7
"227","Peru",7,3,4,7,"Iceland",4,3,1,6,"Uruguay",7,1,6,7,"Spain",6,6,0,6,"Portugal",11,2,9,9,"Egypt",6,5,1,4,"Argentina",4,3,1,6,"France",6,3,3,4,"Brazil",6,2,4,7,"Germany",9,5,4,6,"Belgium",7,2,5,7,"Colombia",5,2,3,5,"Mexico",6,5,1,9,"Switzerland",4,2,2,7,"Poland",7,4,3,5,"England",4,3,1,6
"228","France",12,2,10,9,"Croatia",4,4,0,6,"Uruguay",9,2,7,7,"Iran",4,5,-1,4,"Spain",9,3,6,9,"Egypt",7,5,2,5,"Argentina",9,3,6,9,"Peru",5,5,0,4,"Switzerland",6,1,5,9,"South Korea",6,5,1,4,"England",9,2,7,9,"Senegal",4,7,-3,4,"Germany",9,5,4,9,"Brazil",6,3,3,4,"Poland",8,7,1,9,"Tunisia",3,2,1,4
"229","France",6,3,3,6,"Croatia",3,2,1,5,"Uruguay",8,2,6,9,"Iran",5,4,1,5,"Spain",5,2,3,7,"Saudi Arabia",3,4,-1,4,"Argentina",5,1,4,7,"Australia",5,5,0,4,"Switzerland",7,3,4,9,"Germany",7,6,1,6,"England",5,3,2,7,"Colombia",5,4,1,5,"Mexico",8,6,2,9,"Brazil",9,3,6,6,"Poland",6,3,3,7,"Belgium",5,4,1,5
"230","France",7,5,2,5,"Iceland",1,1,0,3,"Uruguay",6,2,4,9,"Portugal",3,3,0,4,"Spain",10,1,9,9,"Russia",8,5,3,6,"Croatia",7,4,3,7,"Peru",5,3,2,5,"Brazil",9,3,6,9,"Sweden",5,6,-1,4,"England",4,2,2,7,"Senegal",3,6,-3,3,"Germany",9,3,6,9,"Serbia",4,5,-1,4,"Poland",4,4,0,9,"Belgium",5,1,4,6
"231","France",7,4,3,5,"Iceland",2,3,-1,4,"Uruguay",10,2,8,6,"Iran",3,3,0,4,"Spain",7,1,6,9,"Egypt",8,4,4,6,"Argentina",7,2,5,9,"Peru",5,3,2,5,"Brazil",10,1,9,9,"Mexico",4,4,0,4,"England",8,1,7,9,"Japan",3,4,-1,4,"Germany",7,3,4,9,"Switzerland",6,3,3,6,"Colombia",5,3,2,9,"Belgium",6,2,4,6
"232","France",3,2,1,5,"Iceland",4,3,1,5,"Russia",7,4,3,6,"Spain",6,5,1,5,"Portugal",8,3,5,7,"Uruguay",8,4,4,6,"Argentina",7,4,3,5,"Denmark",4,3,1,5,"Brazil",6,3,3,7,"Mexico",5,8,-3,6,"Belgium",10,1,9,9,"Poland",3,5,-2,4,"Germany",9,4,5,6,"Serbia",5,5,0,3,"Colombia",5,6,-1,7,"England",6,2,4,6
"233","France",6,1,5,7,"Argentina",7,4,3,6,"Uruguay",7,2,5,9,"Morocco",3,6,-3,4,"Spain",8,2,6,9,"Russia",6,4,2,4,"Croatia",7,4,3,7,"Denmark",4,4,0,6,"Brazil",7,5,2,6,"Germany",8,4,4,6,"England",8,3,5,7,"Colombia",6,2,4,5,"Mexico",8,5,3,9,"Switzerland",7,6,1,6,"Senegal",4,5,-1,5,"Belgium",6,4,2,5
"234","Denmark",6,4,2,7,"Iceland",4,4,0,6,"Uruguay",6,3,3,7,"Portugal",6,3,3,6,"Spain",9,2,7,9,"Russia",7,2,5,6,"Argentina",9,4,5,7,"France",6,3,3,7,"Switzerland",7,1,6,7,"Germany",9,3,6,6,"England",9,4,5,7,"Senegal",5,6,-1,6,"Mexico",7,7,0,7,"Brazil",4,5,-1,4,"Poland",6,4,2,9,"Belgium",8,4,4,6
"235","France",8,5,3,6,"Croatia",3,3,0,3,"Russia",9,0,9,9,"Spain",6,5,1,5,"Portugal",9,4,5,7,"Uruguay",5,3,2,6,"Argentina",7,4,3,7,"Peru",6,6,0,4,"Brazil",9,4,5,9,"Germany",5,5,0,4,"England",7,1,6,9,"Senegal",6,4,2,6,"Mexico",5,5,0,7,"Serbia",6,6,0,6,"Poland",6,6,0,7,"Belgium",4,3,1,4
"236","France",8,5,3,7,"Iceland",4,2,2,6,"Uruguay",7,5,2,7,"Portugal",6,5,1,6,"Spain",9,4,5,7,"Russia",8,5,3,5,"Argentina",8,0,8,9,"Australia",4,5,-1,4,"Serbia",4,5,-1,6,"Sweden",7,5,2,6,"Belgium",7,1,6,9,"Colombia",5,5,0,6,"Germany",9,5,4,9,"Brazil",6,4,2,4,"Poland",5,3,2,6,"England",4,4,0,4
"237","France",6,4,2,6,"Croatia",6,3,3,6,"Uruguay",9,2,7,7,"Portugal",6,5,1,4,"Spain",8,3,5,9,"Egypt",6,5,1,6,"Argentina",6,5,1,6,"Peru",4,4,0,6,"Brazil",9,2,7,9,"Germany",8,5,3,4,"England",6,3,3,9,"Poland",9,4,5,6,"Mexico",5,5,0,7,"Switzerland",7,6,1,6,"Senegal",5,5,0,9,"Tunisia",4,2,2,6
"238","France",8,4,4,7,"Argentina",7,3,4,6,"Egypt",8,2,6,7,"Portugal",8,3,5,6,"Spain",7,2,5,9,"Uruguay",6,4,2,4,"Croatia",5,3,2,7,"Denmark",7,5,2,6,"Brazil",6,3,3,7,"Mexico",5,4,1,6,"England",6,2,4,7,"Senegal",4,4,0,4,"Germany",7,2,5,9,"Switzerland",6,5,1,4,"Colombia",7,2,5,7,"Belgium",5,2,3,7
"239","France",7,3,4,7,"Croatia",5,4,1,5,"Uruguay",11,5,6,9,"Portugal",5,6,-1,3,"Spain",8,3,5,9,"Russia",7,5,2,6,"Argentina",6,3,3,6,"Peru",6,4,2,5,"Brazil",10,1,9,9,"Sweden",8,5,3,5,"Tunisia",4,2,2,7,"Senegal",3,5,-2,6,"Germany",8,4,4,7,"Switzerland",3,5,-2,2,"Poland",7,4,3,6,"England",4,3,1,6
"240","France",9,2,7,9,"Croatia",5,4,1,4,"Russia",7,1,6,9,"Iran",5,5,0,4,"Portugal",7,2,5,9,"Uruguay",6,5,1,3,"Argentina",6,3,3,7,"Denmark",6,5,1,4,"Switzerland",6,3,3,7,"Sweden",6,6,0,6,"Belgium",9,3,6,6,"Colombia",6,3,3,5,"Germany",9,5,4,6,"Brazil",5,3,2,5,"Poland",6,5,1,5,"England",4,5,-1,6
"241","Denmark",6,3,3,9,"Argentina",6,6,0,6,"Uruguay",9,4,5,7,"Iran",5,5,0,4,"Spain",8,2,6,9,"Egypt",6,3,3,7,"Croatia",7,3,4,7,"France",7,4,3,6,"Brazil",8,3,5,9,"Sweden",4,3,1,4,"England",8,2,6,9,"Poland",6,4,2,6,"Germany",6,4,2,5,"Switzerland",9,6,3,6,"Senegal",6,4,2,7,"Panama",3,4,-1,4
"242","France",4,1,3,7,"Iceland",4,3,1,6,"Uruguay",6,2,4,7,"Portugal",3,1,2,7,"Spain",7,2,5,7,"Egypt",5,5,0,4,"Argentina",7,2,5,7,"Peru",5,3,2,6,"Brazil",6,3,3,6,"Mexico",6,6,0,6,"England",8,0,8,9,"Senegal",4,3,1,5,"Germany",10,2,8,9,"Switzerland",6,5,1,6,"Poland",7,3,4,5,"Belgium",4,3,1,4
"243","France",9,5,4,6,"Argentina",5,3,2,6,"Uruguay",6,2,4,9,"Morocco",6,3,3,4,"Spain",6,2,4,7,"Russia",6,4,2,6,"Croatia",7,3,4,9,"Australia",4,6,-2,4,"Brazil",11,4,7,9,"South Korea",5,6,-1,6,"England",6,3,3,7,"Colombia",4,5,-1,6,"Germany",7,2,5,6,"Switzerland",4,4,0,6,"Japan",6,4,2,7,"Belgium",7,3,4,5
"244","France",9,5,4,6,"Argentina",5,3,2,6,"Uruguay",6,2,4,9,"Morocco",6,3,3,4,"Spain",6,2,4,7,"Russia",6,4,2,6,"Croatia",7,3,4,9,"Australia",4,6,-2,4,"Brazil",11,4,7,9,"South Korea",5,6,-1,6,"England",6,3,3,7,"Colombia",4,5,-1,6,"Germany",7,2,5,6,"Switzerland",4,4,0,6,"Japan",6,4,2,7,"Belgium",7,3,4,5
"245","France",6,3,3,7,"Argentina",7,4,3,6,"Uruguay",8,5,3,9,"Portugal",6,5,1,6,"Spain",6,4,2,6,"Russia",9,4,5,6,"Croatia",6,2,4,7,"Peru",4,6,-2,4,"Brazil",6,4,2,7,"Germany",4,4,0,4,"England",6,3,3,9,"Poland",7,8,-1,6,"Sweden",5,2,3,7,"Costa Rica",6,4,2,5,"Colombia",5,3,2,7,"Tunisia",5,3,2,6
"246","Denmark",8,6,2,7,"Croatia",5,3,2,6,"Uruguay",8,2,6,7,"Portugal",4,1,3,6,"Spain",9,0,9,9,"Russia",5,6,-1,4,"Argentina",8,2,6,9,"France",6,4,2,6,"Costa Rica",7,3,4,7,"Mexico",7,6,1,5,"England",6,1,5,7,"Poland",3,4,-1,6,"Germany",9,4,5,7,"Brazil",7,5,2,5,"Colombia",6,4,2,9,"Belgium",5,1,4,7
"247","France",6,2,4,7,"Argentina",3,2,1,6,"Uruguay",10,2,8,9,"Portugal",6,5,1,3,"Spain",7,3,4,9,"Russia",7,3,4,6,"Argentina",3,0,3,9,"Peru",3,3,0,4,"Brazil",7,5,2,6,"Mexico",5,4,1,7,"England",9,3,6,9,"Colombia",4,5,-1,5,"Germany",7,2,5,7,"Switzerland",8,5,3,6,"Poland",6,5,1,5,"Belgium",6,5,1,6
"248","Denmark",7,4,3,9,"Iceland",1,3,-2,4,"Uruguay",7,1,6,7,"Spain",4,4,0,4,"Portugal",6,2,4,9,"Russia",4,3,1,5,"Argentina",7,2,5,7,"France",5,3,2,6,"Brazil",9,2,7,9,"Sweden",5,6,-1,4,"England",7,4,3,7,"Poland",4,2,2,6,"Germany",8,2,6,9,"Costa Rica",4,4,0,6,"Colombia",6,3,3,7,"Belgium",6,3,3,5
"249","France",9,3,6,9,"Argentina",5,4,1,5,"Uruguay",6,3,3,6,"Portugal",7,6,1,5,"Spain",10,5,5,7,"Egypt",4,3,1,6,"Argentina",4,2,2,7,"Denmark",5,5,0,4,"Switzerland",7,4,3,7,"Germany",8,2,6,6,"England",8,3,5,9,"Poland",6,6,0,4,"Mexico",5,3,2,7,"Brazil",6,5,1,4,"Colombia",7,3,4,9,"Belgium",7,3,4,6
"250","France",9,5,4,7,"Argentina",6,3,3,6,"Uruguay",8,2,6,7,"Portugal",5,3,2,5,"Spain",7,5,2,7,"Egypt",4,5,-1,6,"Croatia",7,3,4,7,"Peru",6,4,2,7,"Brazil",5,3,2,5,"Germany",7,5,2,6,"England",7,2,5,7,"Poland",6,3,3,6,"Mexico",7,5,2,7,"Switzerland",6,5,1,4,"Colombia",7,4,3,9,"Belgium",5,3,2,5
"251","France",6,5,1,5,"Argentina",5,6,-1,4,"Uruguay",8,3,5,7,"Portugal",5,5,0,4,"Iran",4,2,2,6,"Russia",7,3,4,5,"Croatia",8,2,6,9,"Peru",8,7,1,5,"Brazil",8,2,6,9,"Germany",9,2,7,6,"England",6,3,3,7,"Senegal",4,4,0,6,"Mexico",6,5,1,9,"Costa Rica",6,3,3,6,"Poland",6,4,2,9,"Belgium",7,4,3,6
"252","France",9,2,7,9,"Nigeria",6,5,1,4,"Egypt",7,4,3,9,"Spain",3,3,0,4,"Portugal",4,1,3,6,"Uruguay",7,5,2,6,"Argentina",6,3,3,9,"Australia",6,6,0,3,"Brazil",9,3,6,9,"Mexico",7,8,-1,4,"Belgium",8,3,5,7,"Poland",6,6,0,6,"Germany",13,4,9,9,"Serbia",6,5,1,6,"Colombia",5,4,1,7,"Tunisia",3,2,1,5
"253","Peru",7,2,5,9,"Croatia",6,5,1,4,"Uruguay",10,3,7,9,"Portugal",6,2,4,6,"Spain",5,2,3,9,"Russia",6,5,1,4,"Argentina",7,2,5,9,"France",7,3,4,6,"Brazil",6,4,2,7,"Mexico",6,6,0,6,"Belgium",5,2,3,7,"Poland",5,7,-2,6,"Sweden",7,4,3,7,"Switzerland",5,4,1,5,"Colombia",6,1,5,9,"England",4,3,1,4
"254","France",9,4,5,9,"Croatia",7,4,3,6,"Uruguay",7,3,4,9,"Spain",8,3,5,7,"Portugal",9,3,6,7,"Russia",3,2,1,4,"Argentina",8,3,5,9,"Peru",7,6,1,6,"Switzerland",8,3,5,7,"Germany",6,4,2,5,"Belgium",9,3,6,9,"Colombia",6,4,2,5,"Sweden",6,3,3,7,"Costa Rica",6,5,1,5,"Poland",6,4,2,5,"England",5,5,0,6
"255","France",6,3,3,7,"Nigeria",3,2,1,5,"Uruguay",10,3,7,9,"Portugal",6,3,4,7,"Spain",9,3,6,7,"Russia",7,4,3,6,"Argentina",4,2,2,6,"Peru",9,6,3,7,"Brazil",7,4,3,7,"Sweden",5,6,-1,6,"Belgium",6,1,5,9,"Poland",8,5,3,6,"Germany",8,2,6,6,"Switzerland",7,4,3,5,"Colombia",3,2,1,9,"England",3,4,-1,4
"256","France",8,1,7,9,"Croatia",3,2,1,5,"Russia",5,2,3,7,"Spain",5,3,2,4,"Portugal",4,2,2,7,"Uruguay",7,2,5,5,"Argentina",6,3,3,7,"Peru",3,4,-1,4,"Switzerland",6,3,3,7,"Germany",9,5,4,4,"Belgium",5,1,4,7,"Poland",3,3,0,2,"Mexico",7,5,2,9,"Brazil",10,4,6,6,"Colombia",6,5,1,9,"England",4,3,1,5
"257","France",6,4,2,7,"Croatia",5,4,1,5,"Uruguay",7,4,3,9,"Spain",6,4,2,6,"Portugal",8,1,7,9,"Egypt",7,7,0,4,"Argentina",7,4,3,7,"Denmark",4,4,0,4,"Switzerland",8,5,3,9,"Mexico",4,4,0,6,"Belgium",7,5,2,5,"Poland",6,6,0,6,"Germany",7,3,4,7,"Brazil",8,6,2,6,"Colombia",3,5,-2,7,"England",6,4,2,5
"258","France",9,2,7,9,"Iceland",5,4,1,5,"Russia",6,2,4,7,"Portugal",4,5,-1,4,"Spain",7,4,3,7,"Uruguay",9,4,5,7,"Argentina",8,4,4,5,"Denmark",3,6,-3,4,"Brazil",8,1,7,9,"Germany",10,5,5,6,"Belgium",5,3,2,7,"Japan",4,4,0,6,"Mexico",8,8,0,9,"Switzerland",6,6,0,4,"Colombia",5,3,2,6,"Tunisia",5,4,1,6
"259","France",9,4,5,9,"Croatia",8,6,2,6,"Russia",9,4,5,9,"Portugal",6,4,2,4,"Spain",6,1,5,9,"Uruguay",7,5,2,6,"Argentina",9,4,5,9,"Peru",7,7,0,4,"Brazil",4,1,3,7,"Germany",4,3,1,4,"Belgium",9,4,5,9,"Poland",8,2,6,4,"Mexico",5,5,0,6,"Switzerland",5,2,3,7,"Colombia",6,4,2,9,"England",5,3,2,6
"260","Denmark",8,4,4,9,"Iceland",3,4,-1,3,"Russia",7,3,4,7,"Portugal",10,5,5,6,"Spain",8,4,4,7,"Uruguay",9,4,5,7,"Argentina",5,0,5,9,"France",5,4,1,4,"Brazil",6,5,1,6,"Sweden",4,4,0,4,"Belgium",6,3,3,6,"Colombia",8,6,2,5,"Germany",9,3,6,9,"Switzerland",7,4,3,5,"Poland",7,5,2,7,"Tunisia",3,2,1,6
"261","Peru",6,1,5,9,"Croatia",6,5,1,5,"Russia",6,3,3,7,"Iran",3,4,-1,4,"Spain",5,3,2,7,"Uruguay",8,3,5,7,"Argentina",9,4,5,6,"France",8,2,6,6,"Brazil",9,3,6,9,"Mexico",8,5,3,6,"England",9,4,5,7,"Poland",5,7,-2,6,"Germany",10,2,8,9,"Switzerland",6,5,1,6,"Colombia",8,7,1,9,"Belgium",5,4,1,4
"262","France",11,4,7,9,"Argentina",7,4,3,6,"Russia",8,4,4,7,"Morocco",5,5,0,6,"Spain",10,5,5,7,"Uruguay",10,5,5,7,"Croatia",9,4,5,9,"Peru",7,5,2,6,"Brazil",6,4,2,5,"Sweden",4,2,2,6,"Belgium",9,3,6,9,"Senegal",4,8,-4,3,"Germany",8,4,4,6,"Switzerland",4,4,0,3,"Poland",8,7,1,9,"England",6,5,1,4
"263","France",5,3,2,7,"Croatia",6,3,3,5,"Russia",7,3,4,7,"Iran",3,5,-2,4,"Spain",7,3,4,7,"Uruguay",11,4,7,6,"Argentina",10,4,6,7,"Peru",6,5,1,4,"Brazil",7,5,2,7,"Sweden",5,4,1,5,"Tunisia",6,3,3,7,"Japan",5,5,0,4,"Germany",7,4,3,5,"Switzerland",6,4,2,7,"Poland",6,6,0,5,"Belgium",5,3,2,5
"264","France",6,2,4,7,"Argentina",7,6,1,5,"Uruguay",11,5,6,7,"Spain",6,5,1,6,"Portugal",6,4,2,6,"Russia",7,4,3,6,"Croatia",8,5,3,7,"Peru",5,2,3,7,"Brazil",8,5,3,6,"Sweden",5,6,-1,4,"Belgium",7,5,2,7,"Senegal",7,4,3,5,"Germany",7,2,5,7,"Switzerland",6,5,1,6,"Poland",8,4,4,5,"England",5,4,1,5
"265","France",7,5,2,6,"Croatia",3,3,0,4,"Russia",7,2,5,7,"Iran",4,3,1,5,"Spain",5,3,2,6,"Egypt",5,3,2,5,"Argentina",8,1,7,9,"Peru",5,4,1,6,"Switzerland",7,5,2,7,"Mexico",7,4,3,7,"England",8,3,5,9,"Poland",8,5,3,6,"Germany",8,2,6,7,"Brazil",9,4,5,6,"Colombia",5,2,3,9,"Belgium",4,3,1,6
"266","Peru",5,2,3,7,"Nigeria",4,7,-3,4,"Uruguay",10,3,7,7,"Spain",7,3,4,6,"Portugal",6,2,4,9,"Russia",6,5,1,4,"Argentina",10,4,6,7,"Denmark",3,3,0,4,"Switzerland",8,5,3,7,"Mexico",6,7,-1,6,"Belgium",7,2,5,7,"Senegal",2,6,-4,3,"Germany",9,5,4,6,"Brazil",6,6,0,6,"Poland",4,5,-1,9,"England",4,3,1,5
